sample	stable_mse	final_mse	gain	mapping_gate	shape_gate	scale_gate	shift_gate	pattern_entropy
1875	1.245825291	1.245825291	0	0	0.2563464046	0.2455119342	0.8364591002	4.122954369
1876	1.279990077	1.279990077	0	0	0.2567416728	0.251494348	0.8414368629	4.123242855
1877	1.282229066	1.282229066	0	0	0.2621605396	0.2547826469	0.8483911157	4.123335838
1878	1.269832134	1.269832134	0	0	0.2607515752	0.2564199865	0.8404718041	4.123167515
1879	1.269752026	1.269752026	0	0	0.2593667507	0.2368330061	0.8310402632	4.122954369
1880	1.263271332	1.263271332	0	0	0.2539826334	0.2443229407	0.8242511749	4.122605324
1881	1.299588919	1.299588919	0	0	0.2522211969	0.2524323463	0.833450973	4.122779369
1882	1.271407247	1.271407247	0	0	0.2540749013	0.2448101342	0.8336148262	4.122725487
1883	1.238629699	1.238629699	0	0	0.2551916242	0.2348974496	0.8224492669	4.122571468
1884	1.194051862	1.194051862	0	0	0.2523491681	0.2347486615	0.8166185021	4.122723579
1885	1.15582788	1.15582788	0	0	0.2563180029	0.2317264378	0.8183850646	4.123096466
1886	1.153053045	1.153053045	0	0	0.262452215	0.2315634042	0.8303955793	4.122716427
1887	1.175728798	1.175728798	0	0	0.2633406818	0.2222591341	0.8266746998	4.122437
1888	1.191137671	1.191137671	0	0	0.2648391426	0.2160804868	0.8276305199	4.122431278
1889	1.113364577	1.113364577	0	0	0.2590276301	0.2216899991	0.8297322392	4.121943951
1890	1.090217471	1.090217471	0	0	0.2615351081	0.2219388336	0.8423848748	4.12209034
1891	1.069491982	1.069491982	0	0	0.2603597045	0.232222259	0.8410767913	4.122175694
1892	1.048759341	1.048759341	0	0	0.2614696026	0.2444969565	0.8483737707	4.122848988
1893	1.040436983	1.040436983	0	0	0.2591207325	0.2427763641	0.8394270539	4.122757435
1894	1.036930799	1.036930799	0	0	0.2602704167	0.2511772811	0.8427770734	4.122513771
1895	1.040438175	1.040438175	0	0	0.2572579086	0.2460621446	0.832798183	4.122285366
1896	1.043661118	1.043661118	0	0	0.2582250535	0.2434216738	0.8355643153	4.122289658
1897	1.040557265	1.040557265	0	0	0.2563886046	0.2378274798	0.8359520435	4.121985435
1898	1.015809774	1.015809774	0	0	0.253175199	0.2484820187	0.8381562233	4.121961594
1899	1.021554232	1.021554232	0	0	0.2558983564	0.256900847	0.8435358405	4.1220994
1900	0.9999628663	0.9999628663	0	0	0.2517903745	0.268155396	0.8370259404	4.122719765
1901	0.9923541546	0.9923541546	0	0	0.2527883947	0.2696335316	0.8361964226	4.123057365
1902	0.9829012752	0.9829012752	0	0	0.2497018427	0.2729668319	0.8281047344	4.122409344
1903	0.9677672386	0.9677672386	0	0	0.2423772514	0.269895494	0.8065749407	4.122044086
1904	0.9439345598	0.9439345598	0	0	0.2418981493	0.2783729136	0.807379961	4.122146606
1905	0.937838614	0.937838614	0	0	0.2444535941	0.2674765289	0.8184512258	4.122119427
1906	0.9271728992	0.9271728992	0	0	0.2516420186	0.2412649393	0.8249694109	4.121942997
1907	0.9336203337	0.9336203337	0	0	0.252589643	0.2507989407	0.8259708881	4.122047424
1908	0.9361585975	0.9361585975	0	0	0.2460702658	0.2688450515	0.8171042204	4.122308254
1909	0.9276700616	0.9276700616	0	0	0.2488711178	0.2642687261	0.8185754418	4.122405529
1910	0.9429543018	0.9429543018	0	0	0.2463426888	0.2662343681	0.8137426972	4.122088432
1911	0.961361587	0.961361587	0	0	0.2425539792	0.2596565485	0.7983311415	4.121840477
