experiment	MAE	MSE	RMSE	MAPE	MSPE
long_term_forecast_ETTh1_32_8_A6_amp_PatchTST_FPEM_ETTh1_ftM_sl32_ll16_pl8_dm16_nh4_el1_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_A6_amp_smoke_0	0.6152206063	0.9156090021	0.956874609	13.86651611	63725.10938
long_term_forecast_ETTh1_384_192_Koopa_ETTh1_ftM_sl384_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0	0.4357284606	0.4248592854	0.651812315	10.31658363	41048.79688
long_term_forecast_ETTh1_96_192_DLinear_ETTh1_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0	0.4403814673	0.4450070262	0.667088449	8.508771896	30775.94336
long_term_forecast_ETTh1_96_192_Nonstationary_Transformer_ETTh1_ftM_sl96_ll48_pl192_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0	0.5592008233	0.6245595217	0.7902907729	7.968586922	20583.95312
long_term_forecast_ETTh1_96_192_TimeMixer_ETTh1_ftM_sl96_ll0_pl192_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0	0.4315671623	0.4441003501	0.6664085388	10.31129646	44660.08203
long_term_forecast_ETTh1_96_192_TimesNet_ETTh1_ftM_sl96_ll48_pl192_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0	0.4417005777	0.4393889904	0.6628642082	10.82943535	40407.21875
long_term_forecast_ETTh1_96_336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0	0.4654037654	0.4874104261	0.6981478333	8.431501389	30395.15234
long_term_forecast_ETTh1_96_336_Nonstationary_Transformer_ETTh1_ftM_sl96_ll48_pl336_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0	0.6438702345	0.7742774487	0.879930377	9.616246223	27490.73828
long_term_forecast_ETTh1_96_336_TimeMixer_ETTh1_ftM_sl96_ll0_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0	0.4590049088	0.4985339046	0.7060693502	10.59645653	45446.47656
long_term_forecast_ETTh1_96_336_TimesNet_ETTh1_ftM_sl96_ll48_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0	0.470792979	0.4939014912	0.70278126	10.32750034	40366.29297
