sample	stable_mse	final_mse	gain	mapping_gate	shape_gate	scale_gate	shift_gate	pattern_entropy
903	1.75470984	1.75470984	0	0	0.1214275211	0.1214698404	0.1212790236	0
904	1.844432235	1.844432235	0	0	0.1213453859	0.1213272363	0.1212140843	0
905	1.986808538	1.986808538	0	0	0.1215769202	0.1213343516	0.1215584651	0
906	2.125028849	2.125028849	0	0	0.1214392856	0.121200867	0.1214331537	0
907	2.276750565	2.276750565	0	0	0.1214655265	0.1212034374	0.1214416847	0
908	2.473260164	2.473260164	0	0	0.1214833856	0.1212760732	0.1214182749	0
909	2.551234484	2.551234484	0	0	0.1214091107	0.1213029176	0.1212939695	0
910	2.517461538	2.517461538	0	0	0.1215324402	0.1214654967	0.1213976294	0
911	2.431297541	2.431297541	0	0	0.1214834079	0.1214003935	0.121366784	0
912	2.535938978	2.535938978	0	0	0.1214256734	0.1212433651	0.1213778704	0
913	2.513425112	2.513425112	0	0	0.1214425713	0.1211806163	0.121424146	0
914	2.307897806	2.307897806	0	0	0.1214438453	0.1212036833	0.1214163303	0
915	1.999550939	1.999550939	0	0	0.1214945838	0.1211902648	0.1214995235	0
916	1.662894845	1.662894845	0	0	0.1214565039	0.1211659461	0.1214412674	0
917	1.549184084	1.549184084	0	0	0.1213708296	0.1212034449	0.1212736145	0
918	1.283176661	1.283176661	0	0	0.1215155125	0.1214450374	0.1213664263	0
919	1.124090552	1.124090552	0	0	0.121570535	0.1214924976	0.1214866266	0
920	1.130805612	1.130805612	0	0	0.121536769	0.1213061213	0.1215404794	0
921	1.564477086	1.564477086	0	0	0.1213979274	0.1211789101	0.1213896945	0
922	2.081879854	2.081879854	0	0	0.1214545593	0.1213324293	0.1213541478	0
923	2.755355597	2.755355597	0	0	0.1214953288	0.1214636117	0.1213376448	0
924	3.363309383	3.363309383	0	0	0.1214933172	0.1214284822	0.1213679388	0
925	3.171092272	3.171092272	0	0	0.1215232462	0.1214219108	0.1213677153	0
926	3.109838724	3.109838724	0	0	0.1214775965	0.1215061769	0.1212786436	0
927	3.107322216	3.107322216	0	0	0.1214801073	0.1214105934	0.1214116663	0
928	3.340364695	3.340364695	0	0	0.1214777231	0.1212563366	0.1214664578	0
929	3.642745972	3.642745972	0	0	0.1212993339	0.121014908	0.1213349104	0
930	3.997028112	3.997028112	0	0	0.1213566288	0.1211352423	0.1213373691	0
931	4.325739861	4.325739861	0	0	0.1214095727	0.1212901622	0.1213154048	0
932	4.483115673	4.483115673	0	0	0.1214849129	0.1212839261	0.1214440912	0
933	4.540235996	4.540235996	0	0	0.1214118227	0.1212268099	0.121387817	0
934	4.548461437	4.548461437	0	0	0.1214141026	0.1213661507	0.1212598085	0
935	4.41467762	4.41467762	0	0	0.1214924008	0.1213359907	0.1214459911	0
936	4.279861927	4.279861927	0	0	0.1214257553	0.1210537404	0.1214840263	0
937	4.032847881	4.032847881	0	0	0.1212691441	0.1209615991	0.1212878451	0
938	3.720602274	3.720602274	0	0	0.1213638112	0.1210661903	0.1213542446	0
939	3.325357676	3.325357676	0	0	0.1214410886	0.1211783513	0.1214175448	0
940	2.968961	2.968961	0	0	0.121427536	0.1211346313	0.1214277297	0
941	2.47070384	2.47070384	0	0	0.1214244217	0.1212221161	0.1213791892	0
942	2.115080118	2.115080118	0	0	0.1215698868	0.1214515641	0.1214939877	0
943	1.889893174	1.889893174	0	0	0.1215375066	0.1213968918	0.1214933172	0
944	1.668725014	1.668725014	0	0	0.121523343	0.1212266833	0.1215525642	0
945	1.705972672	1.705972672	0	0	0.1214763597	0.1211262196	0.1214988306	0
946	1.92782867	1.92782867	0	0	0.1214575991	0.1211522743	0.1214485914	0
947	2.084148169	2.084148169	0	0	0.1214935631	0.1212511882	0.1214672104	0
948	2.249985695	2.249985695	0	0	0.1214655042	0.1212532073	0.1214244813	0
949	2.277000427	2.277000427	0	0	0.1214043945	0.1212343723	0.1213297844	0
950	2.115364075	2.115364075	0	0	0.1214841679	0.1213589758	0.1213978902	0
951	1.866696477	1.866696477	0	0	0.1215728596	0.1214058325	0.1215395257	0
952	1.749644518	1.749644518	0	0	0.1214593872	0.1212665662	0.1214436665	0
953	1.846474528	1.846474528	0	0	0.1214767918	0.1211421639	0.1215075776	0
954	1.911034584	1.911034584	0	0	0.1214501932	0.1211478636	0.1214576811	0
955	2.04123497	2.04123497	0	0	0.1214278415	0.1211882308	0.1214097366	0
956	2.070864201	2.070864201	0	0	0.1214880422	0.1212480217	0.1214675158	0
957	2.066367865	2.066367865	0	0	0.1214402467	0.121298328	0.1213803366	0
958	2.014359713	2.014359713	0	0	0.121565707	0.1214480922	0.1214633957	0
959	2.016661406	2.016661406	0	0	0.1216011569	0.1213765591	0.121580027	0
960	2.087936401	2.087936401	0	0	0.1214516535	0.1212350503	0.121442683	0
961	2.150200844	2.150200844	0	0	0.1214782447	0.1212071925	0.1214785576	0
962	2.033813715	2.033813715	0	0	0.121496655	0.1212391257	0.1214724034	0
963	1.803077698	1.803077698	0	0	0.1214503273	0.1211806312	0.1214645356	0
964	1.654303908	1.654303908	0	0	0.1214995235	0.121245265	0.1214781404	0
965	1.462652087	1.462652087	0	0	0.1214683577	0.1214206368	0.1213186309	0
966	1.127589583	1.127589583	0	0	0.1216415167	0.1215039417	0.1215329319	0
967	1.01861012	1.01861012	0	0	0.1215116307	0.1214103028	0.1214414462	0
968	1.088506818	1.088506818	0	0	0.12146952	0.1212880835	0.121430181	0
969	1.264825821	1.264825821	0	0	0.1214414462	0.1211834401	0.1214472279	0
970	1.678418279	1.678418279	0	0	0.1214165017	0.1212339252	0.1213487536	0
971	2.069043636	2.069043636	0	0	0.121448651	0.1213470772	0.1213292405	0
972	1.96690166	1.96690166	0	0	0.1215392575	0.1213902459	0.1214439645	0
973	1.520356417	1.520356417	0	0	0.1214154735	0.1214275211	0.1211942211	0
974	1.392044306	1.392044306	0	0	0.1214662343	0.1215097457	0.1212520376	0
975	1.526610494	1.526610494	0	0	0.1214898974	0.1214440912	0.121406354	0
976	1.802226067	1.802226067	0	0	0.1213586107	0.1212375984	0.1212996468	0
977	2.024636507	2.024636507	0	0	0.1214525551	0.1213185638	0.1213840395	0
978	2.172271967	2.172271967	0	0	0.1215235591	0.1213693619	0.1214646921	0
979	2.249845982	2.249845982	0	0	0.1214612797	0.1213321462	0.1213722154	0
980	2.315531492	2.315531492	0	0	0.1214225143	0.1213338375	0.1213085428	0
981	2.341686964	2.341686964	0	0	0.1215187237	0.1214641705	0.1213443652	0
982	2.372689962	2.372689962	0	0	0.1214116141	0.1214315891	0.1212487221	0
983	2.332911015	2.332911015	0	0	0.1214355454	0.1213003248	0.1214113981	0
984	2.365825176	2.365825176	0	0	0.1213911325	0.1212137341	0.1213299111	0
985	2.387418032	2.387418032	0	0	0.1214522943	0.1213040799	0.1213693395	0
986	2.297066212	2.297066212	0	0	0.1214393377	0.1212323382	0.1214069054	0
987	2.043450832	2.043450832	0	0	0.1213935167	0.1212180704	0.1213436127	0
988	1.770942092	1.770942092	0	0	0.121371761	0.1212084666	0.1213019118	0
989	1.433708906	1.433708906	0	0	0.1214702055	0.12138886	0.1213247776	0
990	1.125454068	1.125454068	0	0	0.1214733943	0.1214618161	0.1213469952	0
991	0.8994990587	0.8994990587	0	0	0.121478416	0.121309258	0.1214696914	0
992	0.7855558395	0.7855558395	0	0	0.1214156002	0.1211972609	0.121359311	0
993	0.9229828119	0.9229828119	0	0	0.1214604229	0.1211764291	0.121425882	0
994	1.162774205	1.162774205	0	0	0.1214419082	0.1212630123	0.1213709116	0
995	1.421565652	1.421565652	0	0	0.1214082167	0.1213115007	0.1212747023	0
996	1.750607491	1.750607491	0	0	0.121420376	0.12135005	0.1212643981	0
997	1.892042756	1.892042756	0	0	0.1214194372	0.1214389279	0.1211953834	0
998	1.767009974	1.767009974	0	0	0.1214599609	0.1215449721	0.1212415472	0
999	1.59809649	1.59809649	0	0	0.1214802116	0.1214372292	0.1213830858	0
1000	1.535253286	1.535253286	0	0	0.1214292422	0.1213768125	0.1213105321	0
1001	1.629844546	1.629844546	0	0	0.1214171723	0.12123245	0.1213637367	0
1002	1.721481085	1.721481085	0	0	0.1214009896	0.1211897805	0.1213750243	0
1003	1.799394488	1.799394488	0	0	0.121381633	0.121197708	0.1213173866	0
1004	1.930991292	1.930991292	0	0	0.1214128062	0.1212850288	0.1213047579	0
1005	2.030711174	2.030711174	0	0	0.1213635802	0.1213399991	0.1212576479	0
1006	2.096728802	2.096728802	0	0	0.1215037629	0.1215314418	0.1212802008	0
1007	2.086061478	2.086061478	0	0	0.1215273738	0.1215838566	0.1213191301	0
1008	2.152926207	2.152926207	0	0	0.1214677095	0.1213522553	0.12138886	0
1009	2.113677263	2.113677263	0	0	0.1213525534	0.1211549118	0.1213172004	0
